pathway	AH12	AH13	AH19	AH20	IA1	IA3	IA5	IA6	IA7	IA8	IA9	IA10	IA15	IA16	IA17	IA18	IA19	IA20	IA21
ko02024	31883	4611	5785	30827	1472	1111	5936	49181	42415	4592	1001	5539	4514	2164	4512	4568	2061	2162	3388
ko02025	18493	325	1682	9868	146	126	389	2491	2151	360	110	723	578	203	464	575	246	246	362
ko02026	13048	628	1452	8223	190	141	792	6419	5546	621	126	927	722	325	668	679	249	302	493
ko02030	10175	135	872	5574	85	52	196	1270	1103	244	70	462	430	117	320	430	198	226	274
ko02040	6363	45	563	3550	78	19	79	38	45	208	61	423	436	80	307	478	237	249	252
ko02060	7570	6123	4164	20302	1153	793	7590	75235	64800	5115	784	5374	4104	2071	5228	4107	1466	1697	3369
ko03008	426	71	86	375	30	18	91	732	630	70	15	93	77	28	70	76	35	33	47
ko03010	8598	3442	3333	12847	1334	918	4491	37491	32249	3536	878	4445	3689	1525	3623	3591	1757	1493	2550
ko03013	419	129	132	553	50	34	154	1328	1145	122	32	159	128	56	134	123	59	47	87
ko03018	4257	1012	1129	4579	405	267	1295	10608	9129	1020	258	1347	1115	456	1072	1084	516	438	751
ko03020	683	378	320	1312	132	78	463	4029	3467	353	78	448	370	151	374	361	164	154	250
ko03022	116	0	9	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03030	3085	1058	1063	4074	415	277	1423	11687	10049	1116	267	1402	1173	483	1123	1113	532	459	794
ko03040	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03050	9	0	2	22	2	5	3	0	0	6	3	7	8	3	5	13	9	7	7
ko03060	2817	814	878	3597	332	230	1082	8502	7323	880	218	1122	926	393	895	922	450	362	623
ko03070	8917	860	1423	6609	393	244	1126	8475	7306	966	252	1328	1119	446	1004	1104	541	439	708
ko03320	2177	65	241	1239	48	43	109	88	77	97	31	115	95	60	65	92	55	36	65
ko03410	2739	701	718	3098	258	156	855	7207	6197	655	155	853	706	294	699	676	311	276	474
ko03420	1867	597	595	2490	240	162	780	6260	5388	623	152	795	660	279	629	639	307	268	432
ko03430	3564	1311	1266	4945	494	315	1746	14833	12757	1357	312	1716	1434	579	1375	1346	621	562	959
ko03440	3929	1395	1423	5314	542	377	1899	14966	12874	1489	356	1816	1508	657	1461	1451	704	596	1058
ko03450	312	0	18	177	0	0	0	0	0	0	0	2	1	0	1	1	0	0	1
ko04011	635	2	51	321	0	1	0	1	1	5	2	15	13	1	12	19	10	8	9
ko04013	306	4	32	148	5	5	7	7	6	10	5	18	16	7	14	19	12	7	13
ko04014	12	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04016	1411	302	319	1523	100	60	351	3291	2832	270	62	365	297	113	305	303	136	124	198
ko04022	12	51	33	89	17	10	61	675	579	44	11	54	47	15	51	41	20	14	33
ko04024	24	51	33	108	17	10	61	675	579	44	11	54	47	15	51	41	20	14	33
ko04066	785	218	211	1005	79	46	266	2464	2120	204	45	270	225	90	226	212	95	103	160
ko04068	945	7	83	474	7	6	9	8	7	17	8	38	34	10	27	40	22	18	24
ko04070	594	85	127	624	38	28	107	684	592	90	25	126	98	44	88	102	49	36	59
ko04071	12	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04072	164	7	18	134	2	1	6	9	10	6	1	12	7	5	5	8	1	2	1
ko04080	123	0	9	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04112	6627	707	1041	5544	300	190	904	6856	5908	738	181	1080	886	367	797	825	363	356	568
ko04113	301	5	32	265	6	5	8	0	0	10	4	16	13	4	10	12	8	3	8
ko04115	290	1	21	161	0	0	0	0	0	3	1	5	5	0	5	9	5	4	4
ko04122	3449	333	572	2614	140	73	433	3357	2894	364	82	473	403	153	384	396	189	174	281
ko04138	9	12	17	32	11	2	20	0	0	17	3	21	19	7	11	10	4	8	7
ko04141	229	80	78	367	27	25	100	671	581	86	20	112	89	40	91	104	51	46	67
ko04142	144	85	121	197	63	65	151	806	693	146	55	249	196	86	173	175	91	49	141
ko04144	12	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04146	2836	89	314	1664	54	59	137	786	676	136	51	205	173	71	142	199	113	71	122
ko04151	173	8	34	81	12	11	25	1	1	29	10	41	37	17	25	33	18	14	27
ko04152	329	60	70	279	24	16	82	660	568	67	18	93	78	34	72	72	31	28	53
ko04210	409	3	38	223	4	5	5	0	0	10	5	20	17	5	15	20	11	6	13
ko04211	941	6	83	469	5	6	7	8	7	15	7	33	29	8	26	38	22	15	22
